Genre,Latitude,Longitude,Name,Price Maximum,Price Minimum,Start Date,State Code,State Name,Subgenre,Venue,VenueID
Alternative,34.088902,-118.326599,Arctic Monkeys,0,0,5/5/2018,CA,California,Alternative Rock,Hollywood Forever Cemetary,ZFr9jZFFaA
Alternative,32.777599,-117.195999,Of Montreal,0,0,5/5/2018,CA,California,Alternative Rock,Soma,ZFr9jZek6a
Alternative,36.149399,-86.790001,Brian Jonestown Massacre,0,0,5/5/2018,TN,Tennessee,Alternative Rock,Cannery Ballroom,Z6r9jZd66e
Alternative,43.037399,-87.934196,Modest Mouse,0,0,5/5/2018,WI,Wisconsin,Alternative Rock,Eagles Ballroom,ZFr9jZdAF1
Alternative,40.501499,-79.977303,Jimmy Eat World,0,0,5/6/2018,PA,Pennsylvania,Alternative Rock,Mr Smalls Theater,ZFr9jZ77eA
Alternative,47.576599,-122.331596,X Ambassadors,0,0,5/6/2018,WA,Washington,Alternative Rock,Showbox SODO,ZFr9jZkAak
Alternative,33.5597,-112.094902,Of Montreal,0,0,5/6/2018,AZ,Arizona,Alternative Rock,The Crescent Ballroom,ZFr9jZaAva
Alternative,39.598999,-105.228104,Primus w/ Mastodon,0,0,5/6/2018,CO,Colorado,Alternative Rock,Red Rocks Amphitheatre,ZFr9jZe71a
Alternative,29.5903,-98.4049,Hawthorne Heights w/ Listener,0,0,5/6/2018,TX,Texas,Alternative Rock,Jack's Patio Bar & Grill,ZFr9jZAv1e
Alternative,39.7351,-86.093002,Brian Jonestown Massacre,0,0,5/6/2018,IN,Indiana,Alternative Rock,The Hi-Fi Indianapolis,Z7r9jZaeEV
Alternative,37.779499,-122.419502,Courtney Barnett,0,0,5/6/2018,CA,California,Alternative Rock,August Hall,Z7r9jZadQX
Alternative,39.0723,-108.5429,Less Than Jake,0,0,5/6/2018,CO,Colorado,Alternative Rock,Mesa Theatre & Club,ZFr9jZ61Fa
Alternative,38.991501,-76.532501,Patty Smyth,0,0,5/7/2018,MD,Maryland,Alternative Rock,Rams Head On Stage,ZFr9jZd67A
Alternative,45.5303,-122.684799,X Ambassadors,0,0,5/7/2018,OR,Oregon,Alternative Rock,Roseland Theater,ZFr9jZd7dv
Alternative,33.791901,-84.446404,Calexico,0,0,5/7/2018,GA,Georgia,Alternative Rock,Terminal West,ZFr9jZ1Fad
Alternative,34.0942,-118.3815,Ben Harper w/ Charlie Musselwhite,0,0,5/7/2018,CA,California,Alternative Rock,Troubadour,ZFr9jZeFAd
Alternative,40.782001,-111.7519,The Fratellis,0,0,5/7/2018,UT,Utah,Alternative Rock,The Complex - UT,ZFr9jZaedv
Alternative,33.451,-112.0784,Built To Spill w/ The Afghan Whigs,0,0,5/8/2018,AZ,Arizona,Alternative Rock,Van Buren - AZ,Z7r9jZad5P
Alternative,40.501499,-79.977303,Brian Jonestown Massacre,0,0,5/8/2018,PA,Pennsylvania,Alternative Rock,Mr Smalls Theater,ZFr9jZ77eA
Alternative,37.205299,-93.2976,Hawthorne Heights w/ Listener,0,0,5/8/2018,MO,Missouri,Alternative Rock,Outland Ballroom,Z7r9jZaeRE
Alternative,36.149399,-86.790001,Calexico,0,0,5/8/2018,TN,Tennessee,Alternative Rock,Mercy Lounge,ZFr9jZ7k16
Alternative,40.988201,-75.297401,Stone Temple Pilots,0,0,5/8/2018,PA,Pennsylvania,Alternative Rock,The Sherman Theater - PA,ZFr9jZkF7a
Alternative,39.733299,-104.9524,The Fratellis,0,0,5/8/2018,CO,Colorado,Alternative Rock,Bluebird Theatre,Z6r9jZdvee
Alternative,33.5597,-112.094902,The Weepies,0,0,5/8/2018,AZ,Arizona,Alternative Rock,The Crescent Ballroom,ZFr9jZaAva
Alternative,33.433998,-111.848297,Weird Al Yankovic w/ Emo Philips,0,0,5/8/2018,AZ,Arizona,Alternative Rock,Mesa Arts Center-Ikeda Theater,ZFr9jZ1vek
Alternative,40.988201,-75.297401,Stone Temple Pilots,0,0,5/8/2018,PA,Pennsylvania,Alternative Rock,The Sherman Theater - PA,ZFr9jZkF7a
Alternative,37.205299,-93.2976,Hawthorne Heights w/ Listener,0,0,5/8/2018,MO,Missouri,Alternative Rock,Outland Ballroom,Z7r9jZaeRE
Alternative,41.939602,-87.656799,The Breeders,0,0,5/8/2018,IL,Illinois,Alternative Rock,Vic Theater,ZFr9jZeadv
Alternative,34.0942,-118.3815,Ben Harper w/ Charlie Musselwhite,0,0,5/8/2018,CA,California,Alternative Rock,Troubadour,ZFr9jZeFAd
Alternative,40.501499,-79.977303,Brian Jonestown Massacre,0,0,5/8/2018,PA,Pennsylvania,Alternative Rock,Mr Smalls Theater,ZFr9jZ77eA
Alternative,47.610802,-122.302803,Editors,0,0,5/8/2018,WA,Washington,Alternative Rock,Neumos,ZFr9jZAFvF
Alternative,30.2721,-97.742401,Of Montreal,0,0,5/9/2018,TX,Texas,Alternative Rock,The Mohawk-Austin,ZFr9jZk71v
Alternative,32.7253,-117.172096,The Weepies,0,0,5/9/2018,CA,California,Alternative Rock,Music Box - San Diego,Z7r9jZaewm
Alternative,30.420601,-87.224098,Blue October,0,0,5/9/2018,FL,Florida,Alternative Rock,Vinyl Music Hall,ZFr9jZ1FF7
Alternative,42.856098,-78.864403,Stone Temple Pilots,0,0,5/9/2018,NY,New York,Alternative Rock,Town Ballroom,ZFr9jZAaF7
Alternative,33.674999,-116.402702,Weird Al Yankovic,0,0,5/9/2018,CA,California,Alternative Rock,McCallum Theatre,ZFr9jZev7v
